Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
syiah,1,1,1,0,1,0,0,0,0,1,0,0
tangkap setya novanto sanggup bubarkan komisi pemberantasan korupsi,1,0,0,1,0,0,0,0,1,0,0,1
,1,1,1,0,0,0,0,1,0,1,0,0
pikir kesana bro eh pakai buatan semba xa6,1,1,1,0,1,0,0,0,0,1,0,0
habisnya kesal ditegur efek merokok salah satunya bikin merokok ya kak ajus x99 x88,0,0,0,0,0,0,0,0,0,0,0,0
orang awam rekayasa tempo pimpinan ai keadilan sejahtera sadar dukung panitia khusus bongkar tipu tipu komisi pemberantasan korupsi,1,0,0,1,0,0,0,0,1,0,1,0
maju uniform resource locator,1,1,1,0,0,0,0,0,1,1,0,0
sembako nama presiden giliran berutang nama rakyat juragan,1,0,1,0,0,0,0,0,1,1,0,0
tujuan mengkriminalisasi ulama ulama 2019 ganti presiden 2019 presiden,1,0,0,1,1,0,0,0,0,0,1,0
lebar,1,1,1,0,0,0,1,0,0,1,0,0
pembuktian kesekian mr presiden amp x91 x8f x91 x8f,0,0,0,0,0,0,0,0,0,0,0,0
strategi politik ai indonesia mendulang keuntungan karisma kepemimpinan presiden soekarno mendukung pemberedelan pers ai politik sejalan kebijakan pemerintahan sepe i presiden,0,0,0,0,0,0,0,0,0,0,0,0
semangat pese a beasiswa seni amp budaya indonesia belajar musik tradisional minangkabau padang beasiswa seni budaya indonesia 2018 international association of classification societies,0,0,0,0,0,0,0,0,0,0,0,0
urut tradisional lelaki indonesia musafir malaysia minyak full body aromatik 2in1 buah pala sunflower minyak zakar five in one lintah hitam papua daun bungkus tangkur bulus zaitun herba hiv penyakit jamu kuat pria amp manjakani wa,0,0,0,0,0,0,0,0,0,0,0,0
petasan mainstream gue main bom panci meledaknya dahsyat,0,0,0,0,0,0,0,0,0,0,0,0
prabowo,1,0,1,0,0,0,0,0,1,1,0,0
pilihan kepala daerah curang jawa barat jawa barat kantong dicatat ajaran marhaen lahir daerah kuburan marhaen daerah,0,0,0,0,0,0,0,0,0,0,0,0
2019 jokowi,0,0,0,0,0,0,0,0,0,0,0,0
jokowi presiden kejadian aneh aneh revolusi mental berjalan bla bla pokoknya salah jokowi deh,1,0,1,0,0,0,0,0,1,1,0,0
ahmad dhani borok orang pe muak lihat muka dhani berbangga,1,1,1,0,0,0,0,0,1,1,0,0
2018 international monetary fund pe ahankan perkiraan pe umbuhan ekonomi global 3 9,0,0,0,0,0,0,0,0,0,0,0,0
deklarasi pilihan kepala daerah 2018 aman anti hoaks jabon,0,0,0,0,0,0,0,0,0,0,0,0
mata,1,1,1,0,0,0,1,0,0,1,0,0
badan gue berbicara x9choi dengar tulang gue bunyi mata gue lelah lihat layar melulu tangan cape mengetik melulu he x9d x9cgue dengar maafkan gue x9d xad,1,1,1,0,0,0,1,0,0,1,0,0
perilaku benci berbau islam cocok ahok,1,1,1,0,1,0,0,0,0,1,0,0
mengaji salat budaya arab saudi muhammad menguasai jazirah arab,0,0,0,0,0,0,0,0,0,0,0,0
deklarasi pilihan kepala daerah 2018 aman anti hoaks warga panggreh jabon,0,0,0,0,0,0,0,0,0,0,0,0
wajah anak ya penuh dendam kebencian anak anak makan hasil uang haram bapaknya rumpi memaki gue makan istri a anak anak o makan uang haram,1,1,0,1,0,0,0,1,0,0,1,0
ayo tua pendukung kampretnya,1,1,0,1,0,0,0,0,1,0,1,0
banyaknya promo tendensius berbau islam ditambah hukum berat sebelah sadar merek anti islam,1,0,0,1,1,0,0,0,0,0,1,0
umumkan muhammad nabi gadungan biarkan rakyat info,1,1,0,1,1,0,0,0,0,0,1,0
embun pagi menebarkan bau basah detik detik ku hitung,0,0,0,0,0,0,0,0,0,0,0,0
era susilo bambang yudhoyono kritik fitnah apapun netz media sosial nyata aman diktator jokowi ditangkap uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
setuju bangsa indonesia butuh pahlawan nasionalis mengajarkan mencintai negara kesatuan republik indonesia kaum radikalis pencinta kencing biadab disingkirkan pekerjaan rad,1,1,0,1,0,0,0,0,1,0,0,1
nikmat a pi geng hoot,0,1,0,0,0,0,0,0,0,0,0,0
coba suka memaki korea pop heboh membicarakan drama korea maaf maaf ya mas mbak drama korea tonton idol,0,1,0,0,0,0,0,0,0,0,0,0
hukum susilo bambang yudhoyono diperiksa,0,0,0,0,0,0,0,0,0,0,0,0
agama coba,0,0,0,0,0,0,0,0,0,0,0,0
hem jual kaos ai keadilan sejahtera akui ai kekurangan logistik pemilihan 2019 modal doang,0,0,0,0,0,0,0,0,0,0,0,0
habis enak disakiti dasar cowok,1,1,1,0,0,0,0,0,1,1,0,0
bermasalah ai indonesia ya angkatan darat menggerakkan massa anti jokowi isu isu anti agama,1,0,0,1,1,1,0,0,0,0,1,0
cegah radikalisme kalangan pelajar santri ulama pandeglang gelar seminar,0,0,0,0,0,0,0,0,0,0,0,0
hinaan orang membuatmu lemah perasaan engkau selemah,0,0,0,0,0,0,0,0,0,0,0,0
agama percaya memeluk agama a masuk surga islam kristen hindu buddha mengajarkan kasih kebaikan agama tuhan hidup lurus masuk surga,0,0,0,0,0,0,0,0,0,0,0,0
tuan guru bajang terbukti umara ulama nasionalis religius nasionalismenya diragukan beliau cucu pahlawan nasional mendedikasikan negara kesatuan republik indonesia tuan guru bajang indonesia 2019,0,0,0,0,0,0,0,0,0,0,0,0
setuju musuh teroris buddha myanmar biksu amp militer borobudur warisan leluhur uniform resource locator,1,0,0,1,1,1,0,0,0,0,1,0
populer ekonomi jokowi tetapkan 222 proyek strategis senilai rupiah 4 100 t,0,0,0,0,0,0,0,0,0,0,0,0
allah penuh kasih sayang,0,0,0,0,0,0,0,0,0,0,0,0
ya namanya kegoblokan akut bang diajari pintar x81,1,1,1,0,0,0,0,0,1,1,0,0
ya manusia,0,1,0,0,0,0,0,0,0,0,0,0
akun,1,0,0,1,0,1,0,0,0,0,1,0
pahami politik politik islam politik sekulerisme demokrasi politik sosialis,0,0,0,0,0,0,0,0,0,0,0,0
terdoktrin tagar ide ai keadilan sejahtera pendidikan ketololan mengalahkan kewarasan xa1 xa1 xa1 xa1 xa4 xa4 xa4,1,1,0,1,0,0,0,0,1,0,1,0
ai indonesia menyatu ai demokrasi indonesia p bubarkan ai demokrasi indonesia p,1,0,0,1,0,1,0,0,0,0,0,1
berpindah tangan medco milik arifin panigoro mengambil alih saham dana pinjaman cina,0,0,0,0,0,0,0,0,0,0,0,0
crispy rendang lengkuas crispy rendang,0,1,0,0,0,0,0,0,0,0,0,0
ms kakak ban tanah jaka a 87 persen dikuasai cina,1,0,0,1,0,1,0,0,0,0,1,0
ex koruptor mencalonkan legislatif ai politik berpikir menurunkan citra ai,1,1,0,1,0,0,0,0,1,0,1,0
rohingya olah dijadikan alat politik prabowo,1,0,1,0,0,0,0,0,1,1,0,0
assalamualaikum bu risma tolong warga jalan kalimas 1c rumah jalan kalimas 1b 1 bantuan bu risma warga rumahnya roboh kasihan bu risma warga tinggal rumahnya roboh,0,0,0,0,0,0,0,0,0,0,0,0
mas mas smule,0,1,0,0,0,0,0,0,0,0,0,0
ahok penghina al qur an ulama bersikap menjijikkan sok suci hype ext transfer protocol over secure socket layer t co btkcetnk0g,1,1,1,0,1,0,0,0,0,1,0,0
alhamdulillah gubernur gagal amp bobrok diganti gubernur muslim insyaallah 2019 ganti presiden lelah berjuang niatkan ibadah nikmati perjuangan melawan pemimpin zalim,1,1,1,0,0,0,0,0,1,1,0,0
fahri hamzah tugas presiden menipu realisasikan janjinya,0,0,0,0,0,0,0,0,0,0,0,0
bilang otak gue belatung bersarang ah eh isi otak hati isinya belatung kebencian akut xa4 xae xa4 xae xa4 xae xa4 xae,1,1,1,0,0,0,0,1,0,1,0,0
salah ciri orang berjanji dusta jokowi uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
ai persatuan pembangunan penumpang ya 2019 ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0
friends benefit beda sepengetahuanku pakai friend benefit dimanapun and not all about sex thing aduh,0,0,0,0,0,0,0,0,0,0,0,0
amp langgar aturan undang undang pakde diam amp xa6,1,1,0,1,0,0,0,0,1,0,1,0
ulang reformasi 98 jilid 2 turunkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
rumor rumor deal,0,0,0,0,0,0,0,0,0,0,0,0
sa 7 952 akuntansi intermediate smi,0,0,0,0,0,0,0,0,0,0,0,0
salah o unya kak menetas x85,1,1,0,1,0,0,0,0,1,0,1,0
makhluk tuhan nyinyir,1,0,1,0,0,0,0,0,1,1,0,0
setuju pendukung anti sebutkan lakukan,1,0,0,1,0,0,0,0,1,0,1,0
ai keadilan sejahtera paguyuban xa4 xa3 xa4 xa3 xa2,1,1,0,1,0,0,0,0,1,0,1,0
percaya tuhan gue tar dikata musyrik wkwk,0,0,0,0,0,0,0,0,0,0,0,0
kebanyakan minum air kencing air minum suling tinja otaknya error stres,1,1,1,0,0,0,0,0,1,1,0,0
kasihan sarapan,0,0,0,0,0,0,0,0,0,0,0,0
bahasa cina pon letak kandungan teks bahasa melayu google translate translate,0,0,0,0,0,0,0,0,0,0,0,0
ai indonesia biadab agama candu masyarakat xaa agama melawan feodalisme amp kapitalisme agama hai rendahkah menganggap orang beragama menjadikan ala,1,1,0,1,1,1,0,0,0,0,1,0
mtvlafanexol mtvlakpopexo mtvladancekokobop,1,1,0,1,0,0,0,0,1,0,1,0
pengantin kesakitan nurl,0,1,0,0,0,0,0,0,0,0,0,0
rasional realistis menilai kepemimpinan presiden jokowi membawa perbaikan aspek pembangunan kesejahteraan masyarakat dibandingkan layak,0,0,0,0,0,0,0,0,0,0,0,0
azan subuh salat yuk kristen sate yuk,0,0,0,0,0,0,0,0,0,0,0,0
dipukili joko kristanto,1,0,1,0,0,0,0,0,1,1,0,0
matanajwadebatjaka a topeng fix terbuka mendukung bau busuk,1,1,1,0,0,0,0,0,1,1,0,0
agama jalan hindu yoga hening islam jalan tarekatnya,0,0,0,0,0,0,0,0,0,0,0,0
potong gaji fasilitas dewan perwakilan rakyat ratusan orang,0,0,0,0,0,0,0,0,0,0,0,0
wkwk ditutupi meja sayang ketahuan,0,0,0,0,0,0,0,0,0,0,0,0
tertawa tertawa bacakan berbalas mention twit twit,0,0,0,0,0,0,0,0,0,0,0,0
konsisten marah dikasih video burung kepleset bahagia hidupku,0,0,0,0,0,0,0,0,0,0,0,0
masuk lingkaran malam sulit lepas upline komisaris downline rugi keahlian 1 tukang tipu ketulungan plonga plongo mengakibatkan optimisme 2019 ganti presiden pl,1,1,0,1,0,0,0,0,1,0,1,0
bocah pakai baju hitam bersalah xb6,1,1,1,0,0,0,0,0,1,1,0,0
twit asyik akun akun pro penista agama akun akun buzzer kerjanya menghujat,1,0,0,1,0,0,0,0,1,0,1,0
presiden,0,0,0,0,0,0,0,0,0,0,0,0
ramai mencerca sokongan hak asasi golongan sekurang kurangnya beliau konsisten memperjuangkan hak asasi terbaru beliau bersuara mempe ahankan 11 tahanan muslim uighur diancam dihantar pulang negara,0,0,0,0,0,0,0,0,0,0,0,0
peta indonesia tempatkan posisi terbelah kaum pemecah belah persatuan keharmonisan terjalin 2019 ganti presiden mempersatukan merangkul sebelah tangan memukul,1,0,0,1,0,0,0,0,1,0,1,0
pemandangan jualan,0,0,0,0,0,0,0,0,0,0,0,0
bodohnya wkwkwkwkkkk menulis prabowo digambar goreng isu gerakan 30 september ai indonesia,1,0,1,0,0,0,0,0,1,1,0,0
kutipan berbobot bwangeeeeeeuuut,0,1,0,0,0,0,0,0,0,0,0,0
hasil selingkuhan maknya gerwani kuda prabowo lahir akun abal abal ngeooaahahahaaaaa xa4 xa3 xa4 xa3 x92 xa6 xf,1,1,1,0,0,0,0,1,0,1,0,0
retweet program jokowi ifikat mengangkat ekonomi rakyat rakyat tenang ifikatanahjkw,0,0,0,0,0,0,0,0,0,0,0,0
alhamdulillah presiden kasih contoh k keras kenal lelah mengeluh optimis membangun negeri love presidenku,0,0,0,0,0,0,0,0,0,0,0,0
kintamani ras indonesia diakui perkumpulan kinologi indonesia diakui f xc3 xa9d xc3 xa9ration cynologique internationale fci ras dunia,0,0,0,0,0,0,0,0,0,0,0,0
djarot potong,0,0,0,0,0,0,0,0,0,0,0,0
gue habis minum soda langsung sakit tenggorokan x85 kemarin paketan minumnya soda ya lemon langsung pilek sakit tenggorokan bangun tidur x81 minum es es kesan gulanya campuran sensitif xa5,0,1,0,0,0,0,0,0,0,0,0,0
pintar ya lawan bu sri x81,1,1,1,0,0,0,0,0,1,1,0,0
bangsa indonesia suku batak toba melestarikan budaya batak toba cerita anak rumah belajar anjur,0,0,0,0,0,0,0,0,0,0,0,0
3 jadwalmu padat ya caramu mengatur chat,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0
haha boca agama lucu bangkit abad pe barangkali fuck,1,1,1,0,0,0,0,0,1,1,0,0
rusia kroasia indonesia rusia sewajarnya hindari salah paham negara negara anti sp as peduli kemanusiaan rusia kaitkan agama kemerosotan moral sebabkan keserakahan memicu perang orang hentikannya,0,0,0,0,0,0,0,0,0,0,0,0
sepenuhnya jilbab baju koko setahu kristen katolik hindu buddha konghucu diwajibkan pakai jilbab perihal baju koko modelnya putih khas baju takwa sekolah dibedakan pad,0,0,0,0,0,0,0,0,0,0,0,0
ketua dewan perwakilan rakyat dorong inspirasi kreatif pemerintah sesuai budaya pancasila,0,0,0,0,0,0,0,0,0,0,0,0
adikku wkwk,0,0,0,0,0,0,0,0,0,0,0,0
otaknya ngeres mulu seputaran coli,1,1,0,1,0,0,0,0,1,0,1,0
ktz909 bicaralah pemimpin agama eksorsisme eksorsisme,0,0,0,0,0,0,0,0,0,0,0,0
mencalonkan presiden ri 2019 akar rumput memenangkan presiden ri 2019,0,0,0,0,0,0,0,0,0,0,0,0
hati 2 n1 anak diproses hukum langsung membela jokowi tujuannya mencari empati 2 video penghina presiden 3 pribumi warga kelas 4 penyebar videonya diburu polisi 5,0,0,0,0,0,0,0,0,0,0,0,0
truk pasir terbalik tol jorr pasar minggu kp rambutan macet,0,0,0,0,0,0,0,0,0,0,0,0
menonton disobedience penasaran wanita yahudi o hodox pakai wig,0,0,0,0,0,0,0,0,0,0,0,0
warga badui selesai memperingati tradisi seba pendopo pemerintah kabupaten lebak dilanjutkan be emu gubernur banten wahidin halim sabtu 21 4 seba badui 2018,0,0,0,0,0,0,0,0,0,0,0,0
laku dimana isu jualan orde pendukung penerapan negara islam khilafah,1,0,0,1,1,0,0,0,0,0,1,0
prabowo wajar bicara rohingya presiden,1,0,1,0,0,0,0,0,1,1,0,0
orang kesalahan orang maaf,0,1,0,0,0,0,0,0,0,0,0,0
menyadari hidup mengurus orang haha habis,0,1,0,0,0,0,0,0,0,0,0,0
presiden peringatan harlah 58 pergerakan mahasiswa islam indonesia gedung sabuga bandung selasa 17 4 calon pemimpin memiliki optimisme tahan uji tahan uji tahan banting amp tawakal berserah allah berusaha,0,0,0,0,0,0,0,0,0,0,0,0
fakta ve ve namanya juno bruno anjingnya dipindahkan rumah kakeknya,0,0,0,0,0,0,0,0,0,0,0,0
diduga ekonomi guru sekolah dasar nekat gantung kbrn semarang,0,0,0,0,0,0,0,0,0,0,0,0
menemukan jalan organisasi diharamkan sepe i dilarang sepe i ai indonesia x81,0,0,0,0,0,0,0,0,0,0,0,0
bu silvy anti pegawai negeri sipil level rendah debat final pemilihan kepala daerah jaka a,1,0,1,0,0,0,0,0,1,1,0,0
doa 2019 ganti presiden semoga terkabul daerah diserbu tenaga kerja gawattt,1,0,1,0,0,0,0,0,1,1,0,0
man teman be erima kasih toilet mengubur sepe i kucing,0,0,0,0,0,0,0,0,0,0,0,0
tipikal 212 bin cepat memuji orang dihormati cepat mencaci salam tuan guru bajang haha bubarkan ai keadilan sejahtera,1,1,0,1,1,0,0,0,0,0,0,1
strict deh pokoknya kebijakan politik negeri amp negeri haram meniru negara melindungi keut,0,0,0,0,0,0,0,0,0,0,0,0
integrasi agama budaya pondasi peradaban bangsa,0,0,0,0,0,0,0,0,0,0,0,0
kakak cih,1,1,1,0,0,0,0,0,1,1,0,0
catatan gerakan reformasi gerakan moral rakyat mahasiwa dipimpin amien rais kawan kawan produk diinisiasi distimulir dirancang csis elite katolik konglomerat tionghoa anteknya reformasi tunggangan reformasi,0,0,0,0,0,0,0,0,0,0,0,0
2019 ganti presiden konstitusional hak rakyat oi plonga plongo kelakuan otoriter,1,1,1,0,0,0,0,0,1,1,0,0
dialog neo oracle the matrix oracle penguasa neo hening oracle kekuasaan,0,0,0,0,0,0,0,0,0,0,0,0
now petatah petitih sucipto hadi purnomo dosen budaya jawa jurusan sastra jawa universitas negeri semarang tema gumunan getunan kagetan aleman,0,0,0,0,0,0,0,0,0,0,0,0
aman mayoritas rakyatnya umat islam hatinya menyakiti sukses mengendalikan sukses menjaga emosinya kepentingan persatuan bangsa presiden memelihara,1,0,1,0,0,0,0,0,1,1,0,0
qaumi ekajati conference jamiat ul ulama e hind ki publik meeting barrister asad udin owaisi,0,0,0,0,0,0,0,0,0,0,0,0
penghina iriana jokowi langsung ditangkap penghina wakil presiden aman uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
den den hidup fitnah abu jibril maaf bikin fitnah pengikutmu menyedihkan tingkat kecerdasannya main setuju setuju mbek congormu busuk su,1,1,1,0,0,0,0,0,1,1,0,0
surabaya bom meledak rumah susun sederhana sewa wonocolo sidoarjo petinggi polisi jawa timur menduga kuat kaitannya kejadian surabaya memakan korban 5 orang 3 orang meninggal dunia pelaku anton,0,0,0,0,0,0,0,0,0,0,0,0
memangnya pengecut,1,1,1,0,0,0,0,0,1,1,0,0
orang maunya bayinya dibunuh polisi moral,1,1,0,1,0,0,0,0,1,0,1,0
catatan harian menantu lakban laki lakban definisi df uniform resource locator,0,0,0,0,0,0,0,0,0,0,0,0
gubernur indonesia mengobrol presiden turki,0,0,0,0,0,0,0,0,0,0,0,0
beda bro mudah provokasi x81 x81 x81 x81 x81 x86,1,1,0,1,0,0,0,0,1,0,1,0
berisik,1,1,1,0,0,0,0,0,1,1,0,0
ketahuan,0,1,0,0,0,0,0,0,0,0,0,0
belajar giat penuh dedikasi lulus ujian 3 twit,0,0,0,0,0,0,0,0,0,0,0,0
opung tenaga kerja cina skill khusus buruh pribumi layak membangun proyek pemerintah tenaga kerja cina terampil labour 10 juta lapangan pekerjaan,0,0,0,0,0,0,0,0,0,0,0,0
beli barang pengiriman cina paket transit cinta indonesia 3 seminggu xa2,0,0,0,0,0,0,0,0,0,0,0,0
ih gagal paham kali salah kena virus haha terima kenyataan ya kasihan deh,1,1,0,1,0,0,0,0,1,0,1,0
coba sifat keras sepe i erdogan menuduh ai indonesia masuk lembaga pemasyarakatan kali ya salut presiden sabarnya tingkat dewa maju 2019 jokowi,0,0,0,0,0,0,0,0,0,0,0,0
jaman daerah khusus kota dimainkan isu cina cina keluarga ono eh sulit,1,1,0,1,0,1,0,0,0,0,1,0
orang menyasar rugi rugi cintaku menyasar hati,0,0,0,0,0,0,0,0,0,0,0,0
terkadang mending sepe i kalem alim bikin malu orang tua,0,1,0,0,0,0,0,0,0,0,0,0
berani bubarkan komisi pemberantasan korupsi berhadapan rakyat,1,1,1,0,0,0,0,0,1,1,0,0
uhuy lumayan wifi rumah penolong kuota habis tri xaa uniform resource locator,1,1,0,1,0,0,0,0,1,0,1,0
menyerang pemerintah jokowi bentar berhenti berkuasa lengserkan pemilihan presiden,1,0,1,0,0,0,0,0,1,0,0,1
lantas jokowi tuduh melakukannya tuduhanmu sungguh akal akhlak mu xa6,0,0,0,0,0,0,0,0,0,0,0,0
ya,1,1,1,0,0,0,0,0,1,1,0,0
antropologi fisik 1 paleo antropologi 2 somatologi antropologi budaya 1 arkeologi 2 etnolinguistik 3 etnologi 4 antropologi sosial,0,0,0,0,0,0,0,0,0,0,0,0
akun cape,0,1,0,0,0,0,0,0,0,0,0,0
tagar tandingan persibtakutmaindijaka a menyambung fakta beredar viking persib persib liga indonesia bandung botol kosong nyaring bunyinya x9d x,1,1,0,1,0,0,0,0,1,0,1,0
pengantar presiden joko widodo rapat terbatas percepatan pelaksanaan berusaha online single submission online single submission 18 april 2018 istana kepresidenan bogor jawa barat,0,0,0,0,0,0,0,0,0,0,0,0
xa0 xa0 xa0 xa0 xa0 xe3 x8c cuap cuap xe3 x8d,0,0,0,0,0,0,0,0,0,0,0,0
membaca,0,1,0,0,0,0,0,0,0,0,0,0
ombudsman ri pesawat tenaga kerja tiongkok indonesia,0,0,0,0,0,0,0,0,0,0,0,0
hihi gue dongeng,1,1,0,1,0,0,0,0,1,0,1,0
insyaallah coba tanggal 24 mei lihat diperbaiki airpo ajati menampung 5 6 juta penumpang airpo terbesar soekarno hatta presiden,0,0,0,0,0,0,0,0,0,0,0,0
berambisi jokowi mencalonkan presiden didukung ulama,0,0,0,0,0,0,0,0,0,0,0,0
2 mega utusan malaysia 11april politik beli utusan malaysia langgan islam muslim alquran keluarga wanita kesehatan hiburan a is budaya sains teknologi alam alumni kampus universitas wira tentera polis,0,0,0,0,0,0,0,0,0,0,0,0
langsung strok wkwk orang,1,1,1,0,0,0,1,0,0,1,0,0
lihatlah rakyat amp negara kesatuan republik indonesia mending mundur jokowi uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
15 terima kasih selamat jalan ila jiwari robbihimul a jalla wa alah ra lilur ulama cinta dunia bahaya bahaya perintah beliau perintah perintah kadang pelajaran berharga lahul fatihah,0,0,0,0,0,0,0,0,0,0,0,0
kemarin beli namanya fadil,0,1,0,0,0,0,0,0,0,0,0,0
perbuatan buruk balasan setimpal hindu balasannya kehidupan kehidupan,0,0,0,0,0,0,0,0,0,0,0,0
omong,1,1,1,0,0,0,0,0,1,1,0,0
,1,1,1,0,0,0,0,0,1,1,0,0
yukkk,0,1,0,0,0,0,0,0,0,0,0,0
tenaga kerja cina berani melecehkan bendera merah putih diam tenaga kerja cina arogan kuat didukung penguasa kemudahan tenaga kerja cina masuk negara kesatuan republik indonesia dijajah,1,0,0,1,0,1,0,0,0,0,1,0
ulama umara bersatu nu online,0,0,0,0,0,0,0,0,0,0,0,0
injak suka bash penipu lelang acc hidup jualan apps eh jualan apps v mending jilat telapak kaki gue dex,0,1,0,0,0,0,0,0,0,0,0,0
badminton putri indonesia kalah jepang cina bermain lepas gampang menyerah,1,0,0,1,0,1,0,0,0,0,1,0
direct message pakai capslock bilang gue wkwk,0,1,0,0,0,0,0,0,0,0,0,0
cerita laki laki ya dasar,1,1,0,1,0,0,0,0,1,0,1,0
mengaku pancasila indonesia taatilah undang undang indonesia sesuai keputusan presiden no 6 2000 surat keputusan menteri agama nomor 12 2006 agama diakui negara kesatuan republik indonesia islam kristen protestan katolik hindu buddha kong hu cu agamanya,0,0,0,0,0,0,0,0,0,0,0,0
contoh orang kerja rakyatnya ainya rakyatnya wakil ketua dewan perwakilan rakyat kerjaannya nyinyir nyinyir pemerintah kritik menyela coba dewan perwakilan rakyat tugasnya 3 t,0,0,0,0,0,0,0,0,0,0,0,0
beliau promo gelar kristen nusantara,0,0,0,0,0,0,0,0,0,0,0,0
presidential threshold langgar konstitusi otoriter habis habis tabrak tubruk undang undang kali undang undang dasar dijebol mk lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
pekerjaan cornelis tionghoa stres,1,1,0,1,0,1,1,0,0,0,1,0
modal copy paste bukti kapasitas otak minimalis,1,1,1,0,0,0,0,0,1,1,0,0
terima kasih unik armeries,1,1,1,0,0,0,0,0,1,1,0,0
pekerja seni komersial berbicara copy paste isi kepalanya ya eksis kontrak cape x99 x84 x99 x84 pekerja komersial uniform resource locator,0,0,0,0,0,0,0,0,0,0,0,0
lengserkan jokowi anti subsidi anti kerakyatan,1,0,1,0,0,0,0,0,1,0,0,1
menyambar kulit leher kering vit c cupang kulit kering vit c cebok hidup bahagia vit c cewek cowok,0,1,0,0,0,0,0,0,0,0,0,0
deny muslim kristen ya,0,0,0,0,0,0,0,0,0,0,0,0
haram babu halal ulah muhammad mencatut nama tuhan,1,1,0,1,1,0,0,0,0,0,1,0
calon ai gurem garam uniform resource locator,1,0,0,1,0,0,0,0,1,0,1,0
4 tulisan chat,0,0,0,0,0,0,0,0,0,0,0,0
eh uniform resource locator,0,0,0,0,0,0,0,0,0,0,0,0
penguasa korban pers susilo bambang yudhoyono,1,0,1,0,0,0,0,0,1,1,0,0
sepegetahuan gue ya soekarno pernikahan politik indonesia gue aneh presiden hebat beliau disukai cewek,0,0,0,0,0,0,0,0,0,0,0,0
selamat tim dulunya berjaya menyisakan pemain pemain,1,1,0,1,0,0,0,0,1,0,1,0
malam jiwa raga ririn terpisah jiwa gelap sempit sepi xa6,0,0,0,0,0,0,0,0,0,0,0,0
kebalik opp eunbi rela disamakan bom,0,0,0,0,0,0,0,0,0,0,0,0
lucu hhhaa orang telepon genggam hhhhaaaaa handphonenya bolak bunyi diangkat walah walah,0,0,0,0,0,0,0,0,0,0,0,0
merantaulah dapatkan pengganti kerabat kawan imam syafii,0,0,0,0,0,0,0,0,0,0,0,0
lipstick sapu tangan bora diriku hati malu makan cipokan,1,1,1,0,0,0,0,1,0,1,0,0
h imam munandar gubernur riau periode 1980 1985 1985 1990 memperoleh gelar datuk sri,0,0,0,0,0,0,0,0,0,0,0,0
kakak orang asyik sayang omongannya orang bikin ilfeel maaf ya kebanyakan ng xa6,0,1,0,0,0,0,0,0,0,0,0,0
jul sebentar sirosis,1,1,1,0,0,0,0,0,1,1,0,0
body bagus enak lobang pantatmu sayang,0,1,0,0,0,0,0,0,0,0,0,0
habis baca takut insecure attachment both ambient disorganized ya memperbaiki kakak phoerange kakak menghadapi,0,0,0,0,0,0,0,0,0,0,0,0
negara maju segini gaji presiden as pegawai pemerintahannya,0,0,0,0,0,0,0,0,0,0,0,0
1 oktober kesaktian pancasila pancasila diversikan arah diktator anti islam,1,0,0,1,1,1,0,0,0,0,1,0
faktafreepo pemerintahan soeha o menggantikan soekarno menerima freepo tangan terbuka ayo indonesia indonesiakuasaifreepo freepo,0,0,0,0,0,0,0,0,0,0,0,0
rosa mukanya tugu peringatan batu nissan gentle kaum,1,1,1,0,0,0,1,0,0,1,0,0
pekerjaan suha o susilo bambang yudhoyono pastikan korupsi tangkap uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
tokoh perubahan kontribusi nyata berkelanjutan memajukan masyarakat bidang ekonomi budaya kesehatan a mengajak masyarakat bersinergi ber,0,0,0,0,0,0,0,0,0,0,0,0
islam nusantara terbukti gagal mengubah yahudi israel rahmah,0,0,0,0,0,0,0,0,0,0,0,0
setujuuuu jokowi mundur bosan,1,0,1,0,0,0,0,0,1,1,0,0
ya otak pikir picik,1,1,1,0,0,0,0,0,1,1,0,0
matanajwadebatjaka a lucu ahok menyambung kena sekak mat pe anyaan isu agama dasar cina haha,1,1,1,0,0,1,0,0,0,1,0,0
islam nusantara menetes telur kodok said agil kolektor bang hidup sari sari comberan hasil buangan koar koar islam nusantara,1,1,0,1,1,0,0,0,0,0,1,0
memperbagus negara tat ustad hijrah k thailand ya,1,1,1,0,1,0,0,0,0,1,0,0
kitab suci fiksi orang fiksi ragu jaman membuka kelompok sisi politik agama keberpihakan,0,0,0,0,0,0,0,0,0,0,0,0
menghargai pribumi minimal berlaku sopan tamu sejatinya perampas hak pribumi stop tenaga kerja cina 2019 ganti presiden,1,0,0,1,0,1,0,0,0,0,1,0
ayo gelorakan 2019 ganti presiden insya allah kesejahteraan merata lenyap,1,0,0,1,0,1,0,0,0,0,1,0
semoga jokowi ulama sehat amin,0,0,0,0,0,0,0,0,0,0,0,0
